source,target,repository,tag,digest,pushedAt,lastRecordedPullTime,sizeBytes
alpine:3.23.4,150430853770.dkr.ecr.cn-northwest-1.amazonaws.com.cn/dockerhub/library/alpine:3.23.4,dockerhub/library/alpine,3.23.4,sha256:5b10f432ef3da1b8d4c7eb6c487f2f5a8f096bc91145e68878dd4a5019afde11,2026-06-11T01:14:41.061000+00:00,,4200497
alpine:3.24.0,150430853770.dkr.ecr.cn-northwest-1.amazonaws.com.cn/dockerhub/library/alpine:3.24.0,dockerhub/library/alpine,3.24.0,sha256:a2d49ea686c2adfe3c992e47dc3b5e7fa6e6b5055609400dc2acaeb241c829f4,2026-06-11T06:43:28.393000+00:00,,4202957
busybox:1.36,150430853770.dkr.ecr.cn-northwest-1.amazonaws.com.cn/dockerhub/library/busybox:1.36,dockerhub/library/busybox,1.36,sha256:73aaf090f3d85aa34ee199857f03fa3a95c8ede2ffd4cc2cdb5b94e566b11662,2026-06-09T08:11:31.569000+00:00,2026-06-11T06:42:42.481000+00:00,2521855
busybox:1.37.0,150430853770.dkr.ecr.cn-northwest-1.amazonaws.com.cn/dockerhub/library/busybox:1.37.0,dockerhub/library/busybox,1.37.0,sha256:9532d8c39891ca2ecde4d30d7710e01fb739c87a8b9299685c63704296b16028,2026-06-10T02:15:07.266000+00:00,2026-06-10T15:01:44.496000+00:00,2526255
busybox:1.38.0,150430853770.dkr.ecr.cn-northwest-1.amazonaws.com.cn/dockerhub/library/busybox:1.38.0,dockerhub/library/busybox,1.38.0,sha256:fd8d9aa63ba2f0982b5304e1ee8d3b90a210bc1ffb5314d980eb6962f1a9715d,2026-06-10T02:13:39.673000+00:00,2026-06-10T15:01:44.574000+00:00,2543952
debian:12.14,150430853770.dkr.ecr.cn-northwest-1.amazonaws.com.cn/dockerhub/library/debian:12.14,dockerhub/library/debian,12.14,sha256:6a6be5fd1b7e9376c29b61d79bd97aaa5827f8631473cc4fd4b92719f4f8b037,2026-06-11T06:44:50.688000+00:00,,52340656
debian:13.4,150430853770.dkr.ecr.cn-northwest-1.amazonaws.com.cn/dockerhub/library/debian:13.4,dockerhub/library/debian,13.4,sha256:e2d08da6f42ef4b09b165d55528a12727aeed8240dc9edf888e3ec07e10ef9da,2026-06-10T01:55:23.066000+00:00,2026-06-10T15:01:50.659000+00:00,53123620
debian:13.5,150430853770.dkr.ecr.cn-northwest-1.amazonaws.com.cn/dockerhub/library/debian:13.5,dockerhub/library/debian,13.5,sha256:4ae67669760b807c19f23902a3fd7c121a6a70cf2ae709035674b23e712e4d62,2026-06-11T01:14:43.051000+00:00,2026-06-11T06:42:42.372000+00:00,53132637
gcr.io/distroless/base-debian12:latest,150430853770.dkr.ecr.cn-northwest-1.amazonaws.com.cn/gcr/distroless/base-debian12:latest,gcr/distroless/base-debian12,latest,sha256:e7e678c88c59e70e105a46549bb3fbfb3d732ee3b4afd3a19fdab2e15afaa6b3,2026-06-11T01:13:25.445000+00:00,2026-06-11T02:21:54.319000+00:00,9055509
gcr.io/distroless/java21-debian12:latest,150430853770.dkr.ecr.cn-northwest-1.amazonaws.com.cn/gcr/distroless/java21-debian12:latest,gcr/distroless/java21-debian12,latest,sha256:f34fd3e4e2d7a246d764d0614f5e6ffb3a735930723fac4cfc25a72798950262,2026-06-09T08:39:31.650000+00:00,2026-06-11T07:14:49.024000+00:00,64349613
gcr.io/distroless/nodejs20-debian12:latest,150430853770.dkr.ecr.cn-northwest-1.amazonaws.com.cn/gcr/distroless/nodejs20-debian12:latest,gcr/distroless/nodejs20-debian12,latest,sha256:6fe218dbad37e979c7542e670d28d6e23d3f53d2929693bc9cdded8b622f339f,2026-06-09T08:40:22.280000+00:00,2026-06-11T06:42:40.977000+00:00,48121577
gcr.io/distroless/python3-debian12:latest,150430853770.dkr.ecr.cn-northwest-1.amazonaws.com.cn/gcr/distroless/python3-debian12:latest,gcr/distroless/python3-debian12,latest,sha256:2fdb05402a2cf21cf78fdb3ba4c5db167241e9e498140f5bf689d7efb773731f,2026-06-09T08:41:09.526000+00:00,2026-06-11T06:42:40.932000+00:00,19681099
ghcr.io/kyverno/kyverno:v1.18.1,150430853770.dkr.ecr.cn-northwest-1.amazonaws.com.cn/ghcr/kyverno/kyverno:v1.18.1,ghcr/kyverno/kyverno,v1.18.1,sha256:dcd8cf6de2158cd8334fc728f9c4eb521e2c006320a59d69a9b91af87ac8f41c,2026-06-11T07:39:56.535000+00:00,2026-06-11T08:00:25.239000+00:00,46499856
golang:1.25.11,150430853770.dkr.ecr.cn-northwest-1.amazonaws.com.cn/dockerhub/library/golang:1.25.11,dockerhub/library/golang,1.25.11,sha256:fb6b5fe6aca5fb55b7238c2fadaac64bd955ceeb6f305cb0ac3fd28b377e4415,2026-06-11T01:28:48.022000+00:00,2026-06-11T06:42:41.947000+00:00,2393410805
golang:1.25.11-alpine3.24,150430853770.dkr.ecr.cn-northwest-1.amazonaws.com.cn/dockerhub/library/golang:1.25.11-alpine3.24,dockerhub/library/golang,1.25.11-alpine3.24,sha256:be31066cc557412b36bf16393266708cf9d2584b669f384d35c20109c1e4493d,2026-06-11T01:28:47.806000+00:00,2026-06-11T02:22:11.594000+00:00,64392847
